city,name,zip,address2,hours,state,location,address,services,type,id
Palm Beach Gardens,Palm Beach Gardens,33410,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,FL,"{u'lat': 26.842693, u'lon': -80.091019}",11230 Legacy Ave,"[u'Windows Store', u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Car & GPS Installation Services', u'Magnolia Design Center ', u'Samsung Experience', u'LG Experience ', u'Hablamos Espa\xf1ol']",BigBox,688
Georgetown,Georgetown,78627,Ste 300,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,TX,"{u'lat': 30.630672, u'lon': -97.694054}",1015 W University Ave,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Samsung Experience Shop', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services']",BigBox,691
Vineland,Vineland,08360,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,NJ,"{u'lat': 39.43007, u'lon': -75.03932}",3849 S Delsea Dr,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,692
Loveland,Loveland,80538,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,CO,"{u'lat': 40.415318, u'lon': -104.99052}",6075 Sky Pond Dr,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services', u'Samsung Experience Shop', u'Windows Store']",BigBox,693
Aurora,S.E. Aurora,80016,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,CO,"{u'lat': 39.607738, u'lon': -104.70463}",5999 S Southlands Pkwy,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Samsung Experience Shop', u'Car & GPS Installation Services', u'Magnolia Home Theater', u'Windows Store']",BigBox,694
Inver Grove Heights,Inver Grove Heights,55077,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,MN,"{u'lat': 44.879314, u'lon': -93.077156}",1350 50th Street E,"[u'Geek Squad Services', u'Samsung Experience Shop', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services', u'Geek Squad Solution Central', u'Windows Store']",BigBox,6
Menomonee Falls,Menomonee Falls,53051,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,WI,"{u'lat': 43.188984, u'lon': -88.119286}",N94 W16855 Falls Parkway,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Windows Store', u'Samsung Experience', u'Car & GPS Installation Services']",BigBox,757
Macedonia,Macedonia,44056,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,OH,"{u'lat': 41.313168, u'lon': -81.520035}",470 E Aurora Rd,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Windows Store', u'Samsung Experience', u'Electronics Recycling', u'Car & GPS Installation Services']",BigBox,758
Council Bluffs,Council Bluffs,51501,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,IA,"{u'lat': 41.229534, u'lon': -95.843056}",3115 Manawa Centre Dr,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services']",BigBox,759
Meriden,Meriden,06450,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,CT,"{u'lat': 41.550098, u'lon': -72.806778}",470 Lewis Ave,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,760
