sku,category,name,url,price,upc,shipping,model,manufacturer,type,image,description
1003622,"[{u'id': u'pcmcat252700050006', u'name': u'Toys, Games & Drones'}, {u'id': u'pcmcat274200050008', u'name': u'Games, Puzzles & Cards'}, {u'id': u'pcmcat274200050009', u'name': u'Puzzles'}]","Aquarius - Fender Stratocaster 1,000-Piece Jigsaw Puzzle - Black/Red/White/Yellow/Green/Orange/Blue",http://www.bestbuy.com/site/aquarius-fender-stratocaster-1000-piece-jigsaw-puzzle-black-red-white-yellow-green-orange-blue/1003622.p?id=1219460752587&skuId=1003622CC,15.99,840391101524,5.99,65236,Aquarius,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1003/1003622_sa.jpg,"AQUARIUS Fender Stratocaster 1,000-Piece Jigsaw Puzzle: 1,000 pieces; lets you show off your fandom for the guitar; measures 20"" x 27"" when completed"
1003631,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050020', u'name': u'Recording Equipment'}, {u'id': u'pcmcat152100050022', u'name': u'Audio Interfaces'}]",IK Multimedia - iRig MIDI 2 Audio Interface - Black,http://www.bestbuy.com/site/ik-multimedia-irig-midi-2-audio-interface-black/1003631.p?id=1219460755045&skuId=1003631&cmp=RMXCC,99.99,888680030889,0,IPIRIGMIDI2,IK Multimedia,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1003/1003631_rc.jpg,"IK MULTIMEDIA iRig MIDI 2 Audio Interface: Compatible with Mac, PC and select iOS devices; MIDI input, output and thru jacks; USB and Lightning interface"
1003641,"[{u'id': u'abcat0700000', u'name': u'Video Games'}, {u'id': u'abcat0706000', u'name': u'Wii'}, {u'id': u'abcat0706002', u'name': u'Wii Games'}]",M. Night Shyamalan: The Last Airbender - Nintendo Wii,http://www.bestbuy.com/site/m-night-shyamalan-the-last-airbender-nintendo-wii/1003641.p?id=1218208317435&skuId=1003641&cmp=RMXCC,19.99,785138302515,3.99,30251,THQ,Game,http://img.bbystatic.com/BestBuy_US/images/products/1003/1003641_500x500_sa.jpg,Harness the power of Air and Fire as you join a quest for honor and power
1003659,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat151600050037', u'name': u'Keyboards'}, {u'id': u'pcmcat151600050039', u'name': u'Midi Keyboards & Controllers'}]",M-Audio - Keystation Mini 32 II 32-Key USB MIDI Keyboard Controller - Black/White,http://www.bestbuy.com/site/m-audio-keystation-mini-32-ii-32-key-usb-midi-keyboard-controller-black-white/1003659.p?id=1219460760217&skuId=1003659&cmp=RMXCC,99.95,694318015858,0,117487,M-Audio,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1003/1003659_sa.jpg,"M-AUDIO Keystation Mini 32 II 32-Key USB MIDI Keyboard Controller: Ignite and Ableton Live Lite software; USB MIDI connectivity; pitch-bend, modulation and octave controls; 32 velocity-sensitive synth-action keys"
1003668,"[{u'id': u'pcmcat252700050006', u'name': u'Toys, Games & Drones'}, {u'id': u'pcmcat274200050008', u'name': u'Games, Puzzles & Cards'}, {u'id': u'pcmcat274200050009', u'name': u'Puzzles'}]","Aquarius - The Beatles Street 1,000-Piece Jigsaw Puzzle - Black/White/Brown",http://www.bestbuy.com/site/aquarius-the-beatles-street-1000-piece-jigsaw-puzzle-black-white-brown/1003668.p?id=1219460763580&skuId=1003668&cmp=RMXCC,15.99,840391103801,5.99,65238,Aquarius,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1003/1003668_sa.jpg,"AQUARIUS The Beatles Street 1,000-Piece Jigsaw Puzzle: 1,000 pieces; features an image of The Beatles walking down the street; measures 20"" x 27"" when completed"
1004002,"[{u'id': u'abcat0400000', u'name': u'Cameras & Camcorders'}, {u'id': u'abcat0401000', u'name': u'Digital Cameras'}, {u'id': u'abcat0401005', u'name': u'Digital SLR Cameras'}, {u'id': u'pcmcat180400050000', u'name': u'DSLR Body & Lens'}]",Canon - EOS Rebel T5 DSLR Camera with 18-55mm and 75-300mm Lenses - Black,http://www.bestbuy.com/site/canon-eos-rebel-t5-dslr-camera-with-18-55mm-and-75-300mm-lenses-black/1004002.p?id=1219459331617&skuId=1004002&cmp=RMXCC,749.99,660685134881,0,9126B069,Canon,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1004/1004002_sa.jpg,"18.0-megapixel APS-C CMOS sensorISO 100-6400, expandable to 12,800Shooting speeds up to 3 fpsFull high-definition movie mode"
1004622,"[{u'id': u'abcat0700000', u'name': u'Video Games'}, {u'id': u'abcat0701000', u'name': u'Xbox 360'}, {u'id': u'abcat0701002', u'name': u'Xbox 360 Games'}]",Sniper: Ghost Warrior - Xbox 360,http://www.bestbuy.com/site/sniper-ghost-warrior-xbox-360/1004622.p?id=1218207306495&skuId=1004622&cmp=RMXCC,19.99,897749002569,3.99,8047365,City Interactive,Game,http://img.bbystatic.com/BestBuy_US/images/products/1004/1004622_sa.jpg,Control the power of death as you ghost through the jungle
1004668,"[{u'id': u'abcat0400000', u'name': u'Cameras & Camcorders'}, {u'id': u'abcat0410022', u'name': u'Camcorder Accessories'}, {u'id': u'pcmcat329700050009', u'name': u'Action Camcorder Accessories'}, {u'id': u'pcmcat240500050057', u'name': u'Action Camcorder Mounts'}]",GoPro - Camera Roll Bar Mount - Black,http://www.bestbuy.com/site/gopro-camera-roll-bar-mount-black/1004668.p?id=1218249515093&skuId=1004668&cmp=RMXCC,29.99,185323000132,5.49,GRBM30,GoPro,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1004/1004668_rc.jpg,"Compatible with most GoPro cameras; clamps to tubes or frames ranging from 1.4-2.5"" in diameter; pivoting orientation arms"
1004695,"[{u'id': u'abcat0400000', u'name': u'Cameras & Camcorders'}, {u'id': u'abcat0410022', u'name': u'Camcorder Accessories'}, {u'id': u'pcmcat329700050009', u'name': u'Action Camcorder Accessories'}, {u'id': u'pcmcat240500050057', u'name': u'Action Camcorder Mounts'}, {u'id': u'pcmcat329700050020', u'name': u'Handlebar/Seatpost Mounts'}]",GoPro - Camera Mount Accessory Kit - Black,http://www.bestbuy.com/site/gopro-camera-mount-accessory-kit-black/1004695.p?id=1218249514954&skuId=1004695&cmp=RMXCC,19.99,185323000309,5.49,AGBAG-001,GoPro,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1004/1004695_rc.jpg,Compatible with most GoPro cameras; includes a variety of camera mounting accessories
1004804,"[{u'id': u'abcat0400000', u'name': u'Cameras & Camcorders'}, {u'id': u'abcat0410022', u'name': u'Camcorder Accessories'}, {u'id': u'pcmcat329700050009', u'name': u'Action Camcorder Accessories'}, {u'id': u'pcmcat240500050057', u'name': u'Action Camcorder Mounts'}, {u'id': u'pcmcat329700050017', u'name': u'Chest Mounts'}]",GoPro - Chest Mount Harness - Black,http://www.bestbuy.com/site/gopro-chest-mount-harness-black/1004804.p?id=1218249514750&skuId=1004804&cmp=RMXCC,39.99,185323000989,0,GCHM30,GoPro,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1004/1004804_rc.jpg,Compatible with most GoPro cameras; one-size-fits-all adjustability
